"det_Name","det_Team","Age","G","AB","PA","wRC+","playerid"
"David Peralta","Diamondbacks","31","99","382","423","107","2136"
"Kurt Suzuki","Nationals","35","85","280","309","105","8259"
"Austin Nola","Mariners","29","79","238","267","114","15941"
"Garrett Cooper","Marlins","28","107","381","421","111","15279"
"Robinson Chirinos","Astros","35","114","366","437","113","3142"
"Pablo Sandoval","Giants","32","108","272","296","110","5409"
"David Bote","Cubs","26","127","303","356","106","14593"
"Marcell Ozuna","Cardinals","28","130","485","549","109","10324"
"Jonathan Villar","Orioles","28","162","642","714","107","10071"
"Manny Machado","Padres","26","156","587","661","108","11493"
"Jose Ramirez","Indians","26","129","482","542","104","13510"
"Avisail Garcia","Rays","28","125","489","530","112","5760"
"Phillip Ervin","Reds","26","94","236","260","102","14738"
"Derek Dietrich","Reds","29","113","251","306","102","10542"
"Kolten Wong","Cardinals","28","148","478","549","108","12532"
"Shed Long","Mariners","23","42","152","168","111","16542"
"Clint Frazier","Yankees","24","69","225","246","108","15983"
"Brock Holt","Red Sox","31","87","259","295","103","9345"
"Daniel Vogelbach","Mariners","26","144","462","558","111","14130"
"A.J. Pollock","Dodgers","31","86","308","342","108","9256"
"James McCann","White Sox","29","118","439","476","109","12859"
"Brian Goodwin","Angels","28","136","413","458","109","12858"
"Nick Markakis","Braves","35","116","414","469","102","5930"
"Joey Votto","Reds","35","142","525","608","101","4314"
"Kyle Seager","Mariners","31","106","393","443","110","9785"
"Christian Vazquez","Red Sox","28","138","482","521","102","9774"
"Stephen Vogt","Giants","34","99","255","280","107","5000"
"Asdrubal Cabrera","- - -","33","131","447","514","98","4962"
"Chris Taylor","Dodgers","28","124","366","414","107","13757"
"Yasiel Puig","- - -","28","149","555","611","101","14225"
"Tyler Naquin","Indians","28","89","274","294","101","13359"
"Kole Calhoun","Angels","31","152","552","632","108","11200"
"Dustin Garneau","- - -","31","35","86","101","108","9433"
"Ryan McMahon","Rockies","24","141","480","539","88","15112"
"Andrew Benintendi","Red Sox","24","138","541","615","100","17901"
"Michael Brosseau","Rays","25","51","132","142","108","19683"
"Brian Dozier","Nationals","32","135","416","482","99","9810"
"Vladimir Guerrero Jr.","Blue Jays","20","123","464","514","105","19611"
"Scott Kingery","Phillies","25","126","458","500","101","17975"
"Eddie Rosario","Twins","27","137","562","590","103","12155"
"Nathaniel Lowe","Rays","23","50","152","169","107","19566"
